path,modality,study,status,sop_class,dicom_modality,transfer_syntax,photometric,samples_per_pixel,bits_allocated,bits_stored,signed,is_image,compressed,width,height,components,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_200_THIN_BONE_5/IM-0051-0170.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528964,259190,0.1417,0.0463,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR36/ep2d_diff_3scan_trace_p2_ADC_DFC_6/IM-0034-0017.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,180,180,1,1,172140,15456,0.0918,0.0178,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study5/Head_Dot - MR89/ep2d_diff_3scan_trace_p2_ADC_DFC_6/IM-0201-0003.dcm,MR,MRI_Study5,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,180,180,1,1,172192,15335,0.1069,0.0167,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Abd_Plain_200_THIN_SOFT_3/IM-0002-0581.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528890,149662,0.1503,0.0373,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-1189.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,331091,0.1456,0.0457,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study4/Head_Dot - MR47/t1_mprage_sag_p2_50/IM-0181-0050.dcm,MR,MRI_Study4,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,174,192,1,1,160394,30084,0.0803,0.0199,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-0343.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,284826,0.1198,0.0369,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Arterial_Phase_200_THIN_SOFT_14/IM-0010-0223.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528916,151532,0.1357,0.0325,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_200_THIN_BONE_5/IM-0051-0316.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528964,279389,0.1513,0.039,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Arterial_Phase_200_THIN_SOFT_14/IM-0010-0362.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528918,151685,0.1206,0.0301,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_200_THIN_BONE_5/IM-0051-0586.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528968,280732,0.1342,0.0368,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_200_THIN_SOFT_6/IM-0004-0244.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528872,145306,0.1456,0.0296,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Venous_Phase_500_sag_17/IM-0014-0029.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,742,1,1,764264,187223,0.1572,0.0389,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study2/Thorax_Covid(Adult) - CT223/Thorax_COVID_200_THIN_SOFT_4/IM-0003-0305.dcm,CT,CT_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528858,182892,0.1346,0.037,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Abd_Plain_100_sag_LUNG_9/IM-0006-0057.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,732,1,1,754122,322814,0.145,0.0525,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study4/Thorax_Covid(Adult) - CT223/Thorax_COVID_100_THIN_LUNG_3/IM-0002-0235.dcm,CT,CT_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528848,249157,0.145,0.0363,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_200_THIN_BONE_5/IM-0051-0729.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528968,282552,0.1438,0.0441,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-0457.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,291373,0.1231,0.0449,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/TOF_3D_multislab_17/IM-0063-0012.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,512,512,1,1,619552,75918,0.1415,0.0336,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study1/Abd_Triple_Phae(Adult) - CT32/Arterial_Phase_200_THIN_SOFT_7/IM-0006-0230.dcm,CT,CT_Study1,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528864,150288,0.1636,0.0418,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/ABD_KUB_200_THIN_SOFT_20/IM-0016-0398.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528894,144182,0.1574,0.0328,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR36/TOF_3D_Brain_16/IM-0044-0124.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,512,512,1,1,618120,69603,0.1418,0.0385,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study1/LSpine_Ls_Spine_New - MR276/mIP_Images(SW)_25/IM-0022-0007.dcm,MR,MRI_Study1,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,224,256,1,1,217910,22935,0.1158,0.021,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Che+Abd__CECT_200_THIN_SOFT_16/IM-0012-0096.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528914,139985,0.1535,0.0315,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Abd_Plain_100_THIN_LUNG_4/IM-0003-0531.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528882,287283,0.1359,0.0417,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study2/Thorax_Covid(Adult) - CT223/Thorax_COVID_100_THIN_LUNG_3/IM-0002-0367.dcm,CT,CT_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528856,273459,0.139,0.04,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study4/Thorax_Covid(Adult) - CT223/Thorax_COVID_500_5/IM-0004-0013.dcm,CT,CT_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528834,147741,0.1289,0.0472,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-1485.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,320461,0.1618,0.0448,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study4/Head_Dot - MR47/t1_mprage_sag_p2_MPR_cor_51/IM-0182-0124.dcm,MR,MRI_Study4,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,192,192,1,1,167450,22116,0.1035,0.0189,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study1/LSpine_Ls_Spine_New - MR276/t2_tse_tra_thin_28/IM-0025-0043.dcm,MR,MRI_Study1,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,336,384,1,1,383320,81104,0.1021,0.0267,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study3/Pelvis_Prd_Female_Pelvis - MR218/t1_vibe_fs_Sag_DYNAMIC_NEW_32/IM-0125-0058.dcm,MR,MRI_Study3,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,176,256,1,1,190756,25151,0.0968,0.0309,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study1/Abd_Triple_Phae(Adult) - CT32/Arterial_Phase_200_THIN_SOFT_7/IM-0006-0035.dcm,CT,CT_Study1,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528862,150476,0.1322,0.031,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study4/Thorax_Covid(Adult) - CT223/Thorax_COVID_200_THIN_SOFT_4/IM-0003-0158.dcm,CT,CT_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528846,175821,0.1483,0.0408,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/t2_tse_rst_sag_DL_34/IM-0075-0003.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,384,516,1,1,499230,104061,0.1473,0.0328,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_500_2/IM-0001-0058.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528858,156618,0.1267,0.0485,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study4/Head_Dot - MR47/Whole_Spine_300_sag_8/IM-0140-0008.dcm,MR,MRI_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,1459,1,1,1498540,597807,0.3113,0.0683,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Abd_Plain_500_2/IM-0001-0086.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528878,156589,0.1552,0.0289,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-1755.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528970,312855,0.1443,0.0347,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_200_THIN_SOFT_6/IM-0052-0613.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,161385,0.1562,0.048,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study3/Pelvis_Prd_Female_Pelvis - MR218/t2_tse_cor_448_p2_5/IM-0099-0043.dcm,MR,MRI_Study3,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,320,320,1,1,327378,82332,0.149,0.0749,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study4/Head_Dot - MR47/Whole_Spine_200_THIN_BONE_3/IM-0136-0631.dcm,MR,MRI_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528874,279087,0.2807,0.0473,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study3/Pelvis_Prd_Female_Pelvis - MR218/t1_vibe_fs_Sag_DYNAMIC_NEW_SUB_MIP_COR_30/IM-0123-0001.dcm,MR,MRI_Study3,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,108,256,1,1,155844,16369,0.208,0.0176,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study4/Head_Dot - MR47/t2_tse_tra_448_13/IM-0145-0007.dcm,MR,MRI_Study4,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,364,448,1,1,433690,117908,0.1469,0.0354,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_200_THIN_SOFT_6/IM-0004-0268.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528872,142493,0.1723,0.0367,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study4/Head_Dot - MR47/t2_tse_tra_msma_320_43/IM-0174-0020.dcm,MR,MRI_Study4,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,256,208,1,1,219622,36530,0.0912,0.018,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR36/TOF_3D_Brain_16/IM-0044-0194.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,512,512,1,1,618116,61272,0.1254,0.0228,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study1/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_200_THIN_SOFT_3/IM-0002-0109.dcm,CT,CT_Study1,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528834,147874,0.1331,0.0332,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_200_THIN_SOFT_3/IM-0002-0305.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528870,148765,0.1377,0.0318,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Abd_Plain_200_THIN_SOFT_3/IM-0002-0368.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528888,148114,0.1387,0.0367,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Venous_Phase_200_THIN_SOFT_12/IM-0010-0287.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528886,161594,0.1602,0.0348,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-0002.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528964,292694,0.1409,0.0341,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Venous_Phase_1_200_THIN_SOFT_14/IM-0012-0475.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528890,136584,0.147,0.0311,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study3/Pelvis_Prd_Female_Pelvis - MR218/t1_vibe_fs_Sag_DYNAMIC_NEW_SUB_35/IM-0128-0060.dcm,MR,MRI_Study3,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,176,256,1,1,190796,21648,0.0833,0.0185,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study4/Thorax_Covid(Adult) - CT223/Thorax_COVID_200_THIN_SOFT_4/IM-0003-0062.dcm,CT,CT_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528844,159696,0.152,0.041,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study1/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_500_2/IM-0001-0011.dcm,CT,CT_Study1,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528822,148301,0.1465,0.0455,
